chômage	mortalité	prixDuM2	criminalité	impôt	attirance	 logements 	cinémas	étudiants	température	Région
Orléans	 12.9   	677	1052	101.1	1611	 45   	 6   	3.7	15	10.6	Ouest
Bayonne	 19.7   	806	1086	84.9	1012	 43   	 16   	3.1	7	13.7	Sud
Rouen	 17.7   	866	1075	79.8	1400	 47   	 6   	4	20.7	9.8	Nord
Bordeaux	 13.6   	805	1005	94.9	1775	 46   	 6   	5.5	11	12.8	Sud
Niort	 14.8   	737	779	77.9	1408	 36   	 5   	4.5	4	12.2	Ouest
Lille	 20.0   	1079	1119	114.9	1263	 45   	 9   	4.4	18.8	9.9	Nord
SaintBrieuc	 15.9   	846	922	72.6	1198	 42   	 2   	4.3	7	11.5	Ouest
Nice	 15.8   	763	1527	123.7	1476	 25   	 4   	3.4	9	15.3	Sud
Angoulême	 20.3   	781	650	71.3	1116	 46   	 5   	4.5	4	12.5	Sud
AixEnProvence	 16.6   	671	1566	123.5	2121	 39   	 4   	4.2	31	13.6	Sud
Nantes	 17.8   	741	1162	98	1539	 42   	 10   	5.9	16	11.9	Ouest
Angers	 15.7   	739	1024	77.2	1233	 40   	 3   	4.3	18	11.5	Ouest
Montpellier	 22.4   	726	980	127.5	1309	 41   	 18   	7.2	26	14.2	Sud
Caen	 17.7   	761	957	90.2	1518	 42   	 1   	7.6	24	10.5	Nord
Quimper	 13.0   	866	884	89.4	1341	 37   	 14   	5.6	6	11.4	Ouest
Metz	 14.3   	878	1054	103.4	1396	 38   	 5   	5.7	17	9.9	Est
Strasbourg	 13.6   	855	1249	123.7	1746	 32   	 5   	3.3	17	10	Est
Nancy	 13.9   	867	993	86.2	1865	 47   	 7   	4.8	28	9.6	Est
Paris	 12.0   	717	2973	139.1	4408	 35   	 4   	5.1	13	11.7	Nord
Versailles	 6.9   	708	3354	70.4	4358	 47   	 2   	8.5	11	10.3	Nord
Toulouse	 18.7   	697	1010	102.6	1549	 40   	 11   	5.3	23	12.9	Sud
Albi	 14.4   	756	804	68.7	1245	 35   	 8   	3	7	13.1	Sud
Pau	 17.0   	761	849	73.9	1372	 40   	 8   	4.4	17	12.7	Sud
Sarcelles	 20.9   	928	991	72.4	840	 32   	 7   	0.4	1	10.8	Nord
Dunkerque	 18.8   	940	939	74.7	1235	 33   	 7   	3.6	9	10.5	Nord
Calais	 24.7   	967	1056	110.5	832	 21   	 7   	5.4	4	10.2	Nord
Annecy	 13.4   	750	1837	109	1512	 48   	 9   	3.9	4	9	Est
Rennes	 13.3   	706	1192	93.6	1542	 40   	 4   	5.1	26	11.4	Ouest
Antibes	 15.3   	671	2542	118.5	1774	 36   	 8   	1.9	1	15.6	Sud
											
											
											
											
											
