,1968
Jan-68,317
Feb-68,323
Mar-68,383
Apr-68,374
May-68,254
Jun-68,280
Jul-68,390
Aug-68,352
Sep-68,239
Oct-68,363
Nov-68,347
Dec-68,309
Jan-69,453
Feb-69,411
Mar-69,445
Apr-69,447
May-69,470
Jun-69,416
Jul-69,439
Aug-69,345
Sep-69,357
Oct-69,467
Nov-69,468
Dec-69,441
Jan-70,508
Feb-70,427
Mar-70,487
Apr-70,616
May-70,443
Jun-70,530
Jul-70,444
Aug-70,265
Sep-70,370
Oct-70,416
Nov-70,430
Dec-70,370
Jan-71,559
Feb-71,419
Mar-71,559
Apr-71,535
May-71,501
Jun-71,549
Jul-71,471
Aug-71,312
Sep-71,371
Oct-71,430
Nov-71,448
Dec-71,423
Jan-72,491
Feb-72,473
Mar-72,525
Apr-72,589
May-72,630
Jun-72,703
Jul-72,577
Aug-72,404
Sep-72,417
Oct-72,592
Nov-72,649
Dec-72,509
Jan-73,634
Feb-73,660
Mar-73,920
Apr-73,734
May-73,773
Jun-73,702
Jul-73,675
Aug-73,538
Sep-73,573
Oct-73,794
Nov-73,801
Dec-73,572
Jan-74,915
Feb-74,863
Mar-74,893
Apr-74,901
May-74,924
Jun-74,776
Jul-74,713
Aug-74,461
Sep-74,476
Oct-74,526
Nov-74,408
Dec-74,328
Jan-75,395
Feb-75,358
Mar-75,329
Apr-75,362
May-75,333
Jun-75,404
Jul-75,439
Aug-75,278
Sep-75,367
Oct-75,645
Nov-75,404
Dec-75,354
Jan-76,561
Feb-76,556
Mar-76,739
Apr-76,696
May-76,656
Jun-76,761
Jul-76,785
Aug-76,396
Sep-76,515
Oct-76,613
Nov-76,596
Dec-76,518
Jan-77,802
